EA40015EA415  11100   0   0    SD 15-Apr-1992
EA40091EA40   0   0   0   0   0SD 15-Mar-1992
EA40108EA40   0   0   0   0   0LM 15-May-1992
EA40129EA40   0   0   0   0   0LM 15-Apr-1992
EA40141EA40   11110   0   0   2DSY15-Sep-1992
EA40185EA40   0   0   0   110 0SD 15-May-1992
EA40304EA40   0   0   0   110 3ADS15-Mar-1993
EA40345EA40   0   0   0   0   1SD 15-Jun-1992
EA40399EA40   0   0   0   0   0DSY15-Aug-1992
EA40414EA40   0   0   0   110 2LM 15-Mar-1992
EA40422EA40   0   0   0   110 2ADS15-Mar-1993
EA40436EA40   0   0   0   0   0SD 15-Jun-1992
EA40450EA411100   0   0   0   0SD 15-Jul-1992
EA40469EA411110   0   0   110 1BST15-Jun-1993
EA40497EA40   0   0   0   0   0LM 15-Sep-1992
EA40505EA40   0   0   0   0   0HD 15-Aug-1992
EA40518EA40   0   0   0   0   0RAV15-Aug-1992
EA40526EA40   0   0   0   0   0LM 15-Nov-1992
EA40560EA40   0   0   0   0   1LM 15-Nov-1992
EA40593EA40   0   0   0   0   4JBH15-Jan-1993
EA40606EA40   0   0   0   150 1DSY15-Sep-1992
EA40619EA40   0   0   0   0   0LM 15-Dec-1992
EA40627EA40   0   0   0   0   1LM 15-Feb-1993
EA40631EA40   0   0   0   0   1SD 15-Apr-1992
EA40655EA40   0   0   0   0   0ADS15-Feb-1993
EA40664EA40   0   0   0   0   1AMF15-Nov-1992
EA40670EA40   0   0   0   0   0ADS15-Mar-1993
EA40692EA40   0   0   0   0   0LM 15-Jun-1992
EA40724EA40   0   0   0   130 0JBH15-Dec-1993
EA40767EA40   0   11100   110 0LM 15-Mar-1993
EA40778EA40   0   0   0   110 1LM 15-Nov-1992
EA40795EA40   0   0   0   0   0ADS15-Feb-1993
EA40813EA40   0   0   0   0   0RV 15-Jun-1992
EA40821EA40   0   0   0   0   0LM 15-Sep-1992
EA40849EA40   0   0   0   130 0ADS15-Mar-1994
EA40865EA40   0   0   0   0   1BST15-May-1994
EA40876EA40   0   0   0   0   2LM 15-Feb-1993
EA40882EA40   0   0   0   0   2LM 15-Oct-1992
EA40909EA40   0   0   0   0   0ADS15-Jul-1993
EA40940EA40   0   0   0   0   0KJF15-Nov-1994
EA40958EA40   0   0   0   0   1MMB15-Sep-1994
EA40972EA40   0   0   0   0   0BST15-Feb-1994
EA40986EA40   0   0   0   0   0NF 15-Oct-1994
EA40994EA40   0   0   0   0   0ADS15-Mar-1994
EA41010EA40   0   0   0   0   0ADS15-Nov-1993
EA41035EA40   0   0   0   0   1JBH15-Oct-1994
EA41047EA40   0   0   0   0   0NG 15-Jan-1995
EA41051EA40   11100   0   0   0NFM15-Jun-1993
EA41084EA411100   0   0   0   3ADS15-Oct-1993
EA41096EA40   0   0   0   0   0ADS15-Mar-1993
EA41103EA40   0   0   0   0   0KC 15-Mar-1993
EA41111EA40   0   0   0   0   0ADS15-Jan-1994
EA41124EA40   0   0   0   130 3ADS15-Jun-1994
EA41139EA4110 0   0   0   0   1BAR15-Jul-1994
EA41146EA40   0   0   0   0   1ADS15-Mar-1994
EA41152EA40   0   0   0   0   0BAR15-Jul-1994
EA41167EA40   0   0   0   0   0ADS15-Mar-1994
EA41178EA40   0   0   0   0   0BST15-Feb-1994
EA41195EA40   0   0   0   0   0ADS15-Sep-1994
EA41215EA40   0   0   0   0   0LM 15-Nov-1994
EA41230EA40   0   0   0   0   6NG 15-Feb-1995
EA41242EA40   0   0   0   0   0ADS15-Mar-1995
EA41274EA40   0   0   0   0   0ADS15-Jan-1994
EA41289EA40   110 0   0   0   0ADS15-Oct-1994
EA41309EA40   0   0   0   0   0NFM15-Sep-1994
EA41317EA40   0   0   0   0   0ADS15-Aug-1994
EA41325EA40   0   0   0   0   0ADS15-May-1994
EA41333EA40   0   0   0   110 0ADS15-Jul-1994
EA41340EA40   0   0   0   0   0JBH15-Feb-1994
EA41358EA40   0   0   0   0   0ADS15-Jun-1994
EA41361EA40   0   0   0   0   0NG 15-Jan-1995
EA41372EA40   0   0   0   0   0ADS15-Sep-1994
EA41386EA40   11100   0   0   0ADS15-Jul-1994
EA41394EA40   0   0   0   0   0BST15-May-1995
EA41427EA40   0   0   0   130 0KJF15-Apr-1995
EA41431EA40   0   0   0   0   1ADS15-Aug-1994
EA41443EA40   0   0   0   0   2DNG15-Feb-1995
EA43011EA40   0   0   0   0   0LM 15-Apr-1993
EA43024EA40   0   0   0   0   0NFM15-Jul-1993
EA43039EA40   0   0   0   0   0ADS15-Apr-1994
EA43046EA40   0   0   0   0   0TUP15-Oct-1992
EA43052EA40   0   0   0   0   0SD 15-Feb-1992
EA43067EA40   0   0   0   0   2ADS15-Nov-1993
EA43078EA40   0   0   0   0   0ERD15-Apr-1993
EA43095EA40   0   0   0   0   0JBH15-Feb-1993
EA43104EA40   0   0   0   0   0JBH15-Nov-1993
EA43112EA40   0   0   0   0   0ADS15-Jan-1993
EA43138EA40   0   0   0   0   0LM 15-Apr-1992
EA43145EA40   0   0   0   11010AB 15-Mar-1992
EA43166EA40   0   0   0   110 0NFM15-Jun-1993
EA43177EA40   0   0   0   0   0ADS15-May-1994
EA43181EA40   0   0   0   0   0ADS15-Feb-1994
EA43231EA40   0   0   0   110 1LM 15-Dec-1992
EA43255EA40   0   0   0   0   0AB 15-Feb-1992
EA43264EA40   0   0   0   0   1ADS15-Jun-1993
EA43270EA40   0   0   0   0   0BST15-Dec-1993
EA43292EA40   0   0   0   0   0NFM15-Jun-1993
EA43334EA40   11100   0   0   0SAD15-Apr-1992
