EA40015EA6 0 31                             0A                            G2                              111152445141215414515511517BST15-Jan-1994
EA40056EA610 02                             1E                            N2                              133355555531355333533353311ADS15-Jul-1993
EA40091EA6 8 01                             0C                            G2                              455555543435355531333322411ADS15-Sep-1993
EA40129EA6 0 41                             0B                            G2                              333353113113151133533333316ADS15-Nov-1993
EA40141EA6 1 01                             0C                            G2                              232313133215151113511533596ADS15-Sep-1994
EA40157EA618  1                             0B                            G2                              155555555151155131531133511BST15-Sep-1993
EA40190EA617 01                             0C                            N2                              135555555551515555355111361BST15-Apr-1994
EA40235EA6 2 01                             0C                            N2                              254555555341351134251232539DNG15-Jul-1995
EA40247EA6 0 81                             0C                            N3                              111151513 15353235533 13514ADS15-Nov-1993
EA40251EA6 0 41                             1C                            N1                              111453215115511553255111561ADS15-Oct-1993
EA40304EA6 9 01                             0C                            G1                              113355555315151115511335511ADS15-Mar-1995
EA40312EA622 01                             0C                            N2                              155555555555515555155111458BST15-Jul-1994
EA40345EA6 1 01                             0B                            H2                              111133335333531533333353434ADS15-Jul-1994
EA40353EA6 1 21                             0C                            N2                              111455335335455441144111581ADS15-Feb-1995
EA40401EA6 0 61                             1C                            G2                              312535135131151115531315316H D15-Aug-1993
EA40414EA6 2 01                             0C                            H2                              151355111111151115511555512ADS15-Mar-1994
EA40422EA6 2 71                             1E                            G2                              153555555331151111533111513KJF15-May-1995
EA40436EA6 0 61                             1C                            H2                              113335551335551551331111381ADS15-Jan-1994
EA40450EA6 4 01                             0C                            N1                              554455444443434433333222214NFM15-Jul-1994
EA40469EA6 0 71                             0C                            N2                              511111111111151511552112519DNG15-Jun-1995
EA40497EA6 1111                             0C                            N2                              111334545353534553553223514ADS15-Jan-1995
EA40518EA6 2 01                             0B                            H2                              111355111411355333133111398BST15-Mar-1994
EA40526EA6 3 01                             0B                            G2                              332352124114154114433223599LMM15-Nov-1994
EA40560EA6 1 01                             0C                            G2                              153513355531153344511133591LMM15-Nov-1994
EA40593EA6 2 01                             0C                            N2                              111351113121511441145211591LMM15-Nov-1994
EA40606EA6 4 01                             0B                            H2                              154535534355423334244223249LMM15-Sep-1994
EA40619EA6 2 61                             1C                            N2                              113355555331531433353233531BAR15-Jan-1995
EA40627EA613 01                             0C                            N2                              152555131115151113511354519BST15-Feb-1995
EA40631EA6 3 01                             0C                            N2                              334444444441311341113311431ADS15-Nov-1993
EA40655EA6 3 01                             0B                            N2                              131234213221341323433422528MOC15-Jul-1995
EA40664EA6 0 52                             0C                            N2                              11445555545351555115 111185BST15-Nov-1994
EA40670EA615  1                             0A                            G2                              333333555333151133513355516NJF15-Mar-1995
EA40724EA6 2 01                             0B                            G2                              13335551413135131 531 5  19DNG15-Feb-1996
EA40746EA6 0 11                             1E                            N2                              111355555553531515511551518ADS15-Dec-1994
EA40752EA6 0 51                             0FINTERVIEWER DID NOT DO THIS  2                              234455545344333333553222311DNG15-May-1995
EA40767EA6 2 01                             0B                            H2                              113344455321335334333131448DNG15-May-1995
EA40778EA6 8 01                             0A                            G2                              131355435351331333333333511BST15-Jun-1994
EA40795EA6 3 01                             1E                            G2                              151155555151151131333353519ADS15-Mar-1995
EA40800EA620 01                             0C                            N3                              152151313151151111531555316ADS15-May-1994
EA40813EA6 0 11                             1E                            N3                              111152114221515551155111388NFM15-Jun-1994
EA40837EA6 1 61                             0C                            G2                              111153311111151115511555516BST15-Aug-1995
EA40849EA6 2 61                             0B                            G2                              113333343332314344334333519DNG15-Mar-1996
EA40865EA6 0 71                             1E                            N2                              113324555554151113515444519DNG15-Apr-1996
EA40882EA6 1 01                             0B                            N2                              111155111111351355155111598ADS15-Nov-1994
EA40917EA6 4 31                             0C                            H2                              142413335444413443244222428BEB15-Oct-1996
EA40925EA6 7 01                             1B                            G2                              154555554111151111111214516MMB15-Aug-1995
EA40940EA6 0 21                             0C                            G2                              111345324231434431244221598CET15-Feb-1997
EA40958EA6 2 02                             1E                            N2                              113515545411411315145111548JRB15-Jun-1996
EA40986EA6 0101                             0C                            N2                              111355555511511511255111581CET15-Aug-1997
EA40994EA6 4 01                             0C                            N1                              153315534111351155152121599JBH15-Mar-1996
EA41002EA6 6 61                             0C                            N2                              344555555545544445344322298BST15-Apr-1996
EA41010EA6 3 62                             0C                            N2                              114445555443414443244223331BST15-Dec-1995
EA41047EA6 0 41                             0C                            N1                              113515332315535551335222511MMT15-Sep-1996
EA41068EA6 0 62                             1E                            N1                              115555555555511551155111189JRB15-Jun-1996
EA41079EA6 0 41                             0C                            N1                              153313335131351334445313594BST15-Sep-1996
EA41084EA6 6 01                             0C                            H2                              111111121111251331331223516BEB15-Dec-1995
EA41096EA6 3 01                             0C                            N2                              234555555345531453155231249ADS15-Mar-1995
EA41103EA617 01                             0B                            H2                              113453355353335553135111188DNG15-Mar-1995
EA41111EA6 1 21                             0C                            N2                              123345533233353231543442324BST15-Jan-1996
EA41139EA6 6 01                             0A                            G2                              111131111111151115521111416BEB15-Nov-1996
EA41152EA626 01                             0B                            N2                              112314555451451531444111518JRB15-Jul-1996
EA41167EA6 4111                             0E                             2                              555555555551515555155111599FDP15-Apr-1996
EA41178EA6 5 01                             0C                            H2                              153355433331343333523232318JRB15-Feb-1996
EA41195EA6 0 81                             0C                            N2                              555555515333353341533111511DNG15-Aug-1996
EA41207EA6 7 01                             0C                            N2                              333333555512511552555111381BST15-Aug-1996
EA41215EA6 2 61                             1C                            H2                              315355555511151113511555519SMB15-Jan-1997
EA41230EA6 1 11                             0C                            H2                              333333433333413334533111311CET15-Apr-1997
EA41242EA612 01                             0C                            N2                              125552555323151113532555511BST15-Sep-1996
EA41274EA630 01                             0C                            N1                              133355555535535555333111588JRB15-Feb-1996
EA41289EA6 2 01                             0C                            N2                              112355434331532343155311589JAS15-Nov-1996
EA41309EA626 01                             1E                            N3                              11233311111331 331331311419BEB15-Sep-1996
EA41317EA625 01                             0C                            N2                              334444445331251333534533311BST15-Jul-1996
EA41325EA614 01                             0A                            G2                              333334444333253314413555569BEB15-Apr-1996
EA41333EA6 2 02                             0B                            N2                              111155555551515551155111382JRB15-Jul-1996
EA41358EA6 0 61                             0B                            N2                              323414435333323342244222239CET15-Dec-1996
EA41361EA612 51                             0C                            N1                              152355521235334434433332591BEB15-Dec-1996
EA41372EA6 0 61                             0C                            N2                              111315111111151111511353516JAS15-Dec-1996
EA41386EA6 3 01                             0C                            N2                              243353333333251123443333311BST15-Jul-1996
EA41394EA6 4 01                             0A                            G2                              111112111211151122 32222116MPG15-Aug-1997
EA41406EA6 8 01                             0C                            G2                              123454455555515553155111399DNG15-Aug-1996
EA41419EA6 1 01                             1C                            N2                              113555555555515551155 11481MPG15-Jul-1997
EA41427EA6 2 01                             0C                            H2                              252425323333252215555555413CET15-Mar-1997
EA41443EA645 01                             0C                            N1                              154555535355515541155213198MMT15-Feb-1997
EA41455EA610 11                             1E                            N2                              115555553445513443434322348BEB15-Aug-1996
EA43011EA625 01                             0C                            N2                              333354555311151115513313519ADS15-Feb-1995
EA43024EA6 1 01                             0C                            N2                              111355111111151131555333519BST15-May-1995
EA43039EA6 4111                             0C                            N1                              113555555331513335344311511DNG15-Mar-1996
EA43052EA610 01                             0A                            G2                              122255332144541334255323421ADS15-Jan-1994
EA43078EA6 0112                             0C                            G2                              114415113113154131551354512ADS15-Apr-1995
EA43104EA6 3 01                             0A                            G2                              133333333211151131331331516JRB15-Sep-1995
EA43112EA6 6 01                             0C                            N3                              433355533334434333333323521NJF15-Jan-1995
EA43138EA6 8 01                             0C                            N2                              355555553324253125534133559ADS15-Jun-1994
EA43145EA6 2 01                             1C                            G2                              115555555551511551155111129BST15-Jul-1994
EA43153EA6 1 61                             0C                            N2                              153335523333523552253112388ADS15-Dec-1994
EA43166EA6 3 01                             0B                            H2                              153135334331353345353112147BST15-Jun-1995
EA43177EA621 01                             0A                            G2                              123253235112153125531352311BEB15-Apr-1996
EA43181EA6 5 01                             0C                            N1                              345555555444351333244213311JRB15-Jan-1996
EA43206EA610 01                             1C                            N2                              113445445 44512553 44111488JRB15-Mar-1996
EA43255EA636 01                             0C                            N3                              334455555355331331533111111NFM15-May-1994
EA43264EA6 3 01                             0C                            N2                              335555555333415441555112488DNG15-Sep-1995
EA43270EA6 6 01                             1C                            N2                              224445545554351333335222311BEB15-Dec-1995
EA43292EA6 2 01                             1C                            N1                              114555555455515551155111429JRB15-Jul-1995
EA43308EA6 1 01                             0A                            G2                              141253242111151115541355576NJF15-Feb-1995
EA43334EA6 3 01                             0C                            N2                              113355554334355115555222311BST15-Apr-1994
EA43373EA6 3 01                             1E                            N2                              455555552345454543214111598NLG15-Sep-1995
EA43390EA6 0 31                             0C                            N2                              133345555555515551155111349BST15-Jul-1994
EA43426EA6 2 62                             2E                            N1                              155555355531515553153111327ADS15-Oct-1994
EA43459EA6 4 01                             1C                            J2                              155552113131551451352511529DNG15-Mar-1995
EA43460EA6 1 01                             0C                            H2                              111355553215241434341332498ADS15-Aug-1994
EA43522EA6 2 01                             0C                            G2                              151355355211345333353113511BST15-Mar-1995
EA43548EA6 2 01                             1C                            G2                              134455443322255134543333411NLG15-Mar-1996
EA43569EA636 01                             1E                            G2                              133455555555151125155 11549LMM15-Oct-1994
EA43575EA6 0 21                             0C                            N2                              111134323121153122531533519ADS15-Apr-1995
EA43583EA6 0 31                             1B                            N2                              111135151115131135555111518JRB15-Dec-1995
EA43597EA6 0 71                             1C                            N2                              113455111121515442145111588SMB15-Dec-1996
EA43610EA6 0 32                             0C                            N3                              115555555555515551355111411CET15-Oct-1996
EA43623EA6 0101                             0E                            N2                              153455555341521531245111388DNG15-Jul-1996
EA43635EA6 0 11                             0C                            N2                              113335523231354311355334291BST15-May-1996
EA43651EA6 2 92                             0B                            N2                              112254434321344333155222424BEB15-Aug-1997
EA43696EA6 4 01                             0B                            N2                              111455141351511551155211568JRB15-Aug-1996
EA43707EA6 1101                             0C                            G2                              15135353311115311535 131574ADS15-Feb-1995
EA43715EA6 6 01                             0B                            N2                              555545552455414434254111118DNG15-Dec-1995
EA43730EA6 2 01                             0C                            G2                              133333333333311131133111137DNG15-May-1995
EA43742EA6 0 22                             1E                            N1                              113555113111351351544331518BST15-Apr-1996
EA43756EA6 1 41                             0C                            H2                              115355555331151133132341358MPG15-Jul-1997
EA43774EA610  1                             0C                            N2                              245555313311351335553131519ADS15-May-1995
EA43789EA6 2 01                             0C                            N3                              115555554555555551555444489DNG15-May-1996
EA43791EA6 3 01                             0C                            H2                              135555555235355333253232361BEB15-Oct-1995
EA43809EA6 1 61                             0C                            G2                              131241334231354442144111448MAK15-Jan-1998
EA43817EA6 2 02                             0B                            N2                              115555555554545531134111449JRB15-Dec-1995
EA43825EA6 5 01                             0B                            G2                              353555555552151111514134316DNG15-Feb-1996
EA43833EA6 4 01                             0C                            N3                              233355533335333333535335519NFM15-Apr-1994
EA43840EA6 1 02                             1E                            N3                              114555555554515552155111298NLG15-Jul-1996
EA43861EA6 4 01                             0B                            H2                              112212121111151111154112599SMB15-Dec-1996
EA43886EA6 3 32                             0C                            N2                              155355555331355355355331117BAR15-Jul-1994
EA43900EA625 01                             1C                            N2                              144555534333233133533222519JRB15-Aug-1995
EA43913EA611 01                             0C                            N2                              124455555332444341511113111NG 15-Jan-1995
EA43921EA6 3 01                             0C                            N1                              444445555551515551155111189ADS15-Mar-1995
EA43937EA6 2 01                             1E                            G2                              113435315115151114332333556MOC15-Aug-1995
EA43965EA6 2 61                             0B                            H2                              131253415111151115443335526BEB15-Oct-1996
EA43976EA6 0 51                             0B                            H2                              111453133311353345333111599MMT15-Oct-1996
EA43982EA6 1 61                             0C                            N2                              133555533335151113513335519BST15-May-1995
EA43998EA632 01                             0C                            N3                              555555555551535553353111381ADS15-Jun-1995
EA44009EA6 2 01                             0C                            G2                              142224524411151115511153526JRB15-Nov-1995
EA44017EA632 01                             0C                            N2                              151315125111151113521354516DNG15-May-1995
EA44025EA6 4 01                             0C                            N3                              135555555555525553255111199CET15-Oct-1996
EA44033EA621 01                             0C                            N2                              3344255553513434414421412 1DNG15-Jul-1996
EA44040EA642 01                             1C                            N2                              232413323222351332444333416BEB15-Apr-1996
EA44058EA6 0 31                             0C                            N2                              253555535555511553155211348ADS15-Aug-1994
EA44072EA6 0 51                             1C                            N2                              111143111111143224333332599JRB15-Jul-1996
EA44086EA6 3 61                             0B                            N2                              333355444351352233534224548FDP15-Apr-1996
EA44094EA6 3 01                             0C                            G2                              111153211141251115532113516DNG15-Jun-1996
