"id","visit","center","bia1a","bia1a1","bia1a2","bia1c","bia1c1","bia2a","bia2a1","bia2c","bia2c1","bia3a","bia3a1","bia3c","bia3c1","bia4a","bia4a1","bia4c","bia4c1","bia5a","bia5a1","bia5c","bia5c1","bia6a","bia6a1","bia6c","bia6c1","bia7a","bia7a1","bia7c","bia7c1","bia8","bia1b","bia1d","bia2b","bia2d","bia3b","bia3d","bia4b","bia4d","bia5b","bia5d","bia6b","bia6d","bia7b","bia7d","bia9"
"EA40015",8,"EA","I WOULD STEAL IT",,,"I WOULD SAY ""COULD I HOLD IT""",,"GET A BOTTLE AND HIT HIM",,"I WOULD BANG HIM",,"I WOULD KNOCK HIM OFF",,"I'LL KICK HIM AND BEAT HIM UP",,"IF IT WAS MY FRIEND I WOULD DO KA","RATE ON HIM","THAT'S ALL",,"I WOULD PUSH HIM BACK",,"I WOULD TELL THE TEACHER AND HE WOULD SAY GET","IN BACK OF THE LINE","BREAK IT UP",,"I WOULD SAY STOP FIGHTING",,"I WOULD JUMP IN IT",,"I WOULD BE DOING MY KARATE STUFF",,"NLG",2,1,2,2,2,2,2,5,2,4,22,1,2,2,12/15/1995
"EA40056",8,"EA","I WOULD WALK AWAY",,,"I WOULD JUST WALK AWAY",,"WALK AROUND HIM",,"TELL HIM DON'T BE MAD",,"SAY NO",,"OR RUN",,"I WOULD MAKE SOMETHING UP BEHIND","HIS BACK","THAT'S ALL",,"PUSH HIM BACK",,"FIGHT HIM (?) I WOULD TRY TO BEAT HIM UP",,"NOTHING",,"NOTHING",,"BREAK IT UP (?) BY SEPARATING THEM",,"TELL THE OTHER KID TO GO HOME AND ME AND MY FR","IEND LEAVE","NLG",5,5,5,1,1,5,3,22,2,2,22,22,7,1,5/15/1996
"EA40091",8,"EA","TELL THEIR MOMMA.  TALK TO THEIR DAD.",,,"HIT THEM IN THE FACE AND BANG THEM IN THE LIP.",,"PUNCH HIM AND TELL THEIR MOM.",,"TALK TO THEM AND BANG THEM IN THE FACE.","BANG THEM IN THE LIP.","I WOULD SAY NO, GO ASK YOUR MOTHER AND GET YOUR OWN SODA.",,"PUNCH THEM IN THE FACE AND PULL THEIR HAIR OUT",,"I WOULD PUNCH THEM AND MAKE THEM","CRY.","I WOULD SAY GO HOME KID, YOU DON'T NEED TO BE","AROUND US, AND PUNCH THEM UNTIL THEIR NOSE BLEEDS.","I WOULD KICK THEM IN THE LIP AN","D BANG THEM IN THE MOUTH AND MAKE THEM CRY.","TALK TO THEIR MOTHER AND FATHER.",,"BANG THEM IN THE LIP AND PULL THEIR","HAIR AND THEN TELL THEM NOT TO FIGHT.","HIT HER IN THE BRAIN UNTIL HER BRAINS LAY ON T","HE GROUND.","PUNCH HER IN THE FACE AND BEAT HER UP.",,"HIT HER IN THE NOSE.","SHE BE CRYING AND HER BRAINS WILL BE ON THE GROUND.","BEB",4,2,2,2,1,2,2,3,2,4,2,2,2,2,5/15/1996
"EA40108",8,"EA","NOTHING.  I WOULD BUY ONE.",,,"I'D ASK SOMEBODY ELSE.",,"NOTHING.  KEEP WALKING.",,"HIT HIM IF HE HIT ME.",,"I WOULDN'T GIVE IT TO HIM.  WOULDN'T DO ANYTHING.",,"NOTHING.  I'D LIKE THE MONEY BACK.",,"BEAT HIM UP.",,"KNOCK HIS TEETH OUT.",,"PUSH HIM BACK.",,"GET IN THE BACK OF THE LINE.",,"STOP IT.  BREAK IT UP (WITH ARMS PU","SHING THE KIDS APART.","LET THEM FIGHT.",,"BEAT THE OTHER KID UP.",,"HELP MY FRIEND BEAT THE KID UP.",,"JBH",5,5,7,2,7,7,2,2,2,5,7,5,2,2,5/15/1996
"EA40129",8,"EA","NOTHING",,,"NOTHING",,"HIT HIM",,"HIT HIM BACK",,"HIT HIM",,"NOTHING",,"IGNORE IT",,"NOTHING",,"HIT HIM",,"PUSH HIM AGAIN LIKE HE DONE ME",,"NOTHING",,"NOTHING",,"BREAK IT UP (?) TELL THEM TO STOP FIGHTING",,"NOTHING",,"NLG",5,5,2,2,2,22,5,22,2,2,5,5,1,22,6/15/1996
"EA40141",8,"EA","TELL HIS MOM THAT HE WON'T LET ME HOLD THE BALL",,,"NOTHING",,"HIT HIM BACK",,"KICK HIM",,"TELL THE PRINCIPAL",,"TELL HIS MOM",,"TELL HIS MOTHER THAT HE WAS TALKI","NG BEHIND MY BACK","NOTHING",,"GO TELL THE PEOPLE AND THEN HE'","LL BE PUNISHED (TEACHER)","NOTHING",,"GO TELL THEIR MOTHER",,"IF IT WAS BROTHER, I'D HIT THEM BACK",,"TELL THEIR MOTHER THAT THEY ARE FIGHTING",,"NOTHING",,"NLG",4,5,2,2,4,4,4,5,4,5,4,2,4,5,8/15/1996
"EA40157",8,"EA","I WOULD ASK SOMEBODY ELSE THAT HAD A BALL AND ASK THEM",,,"I DON'T KNOW",,"MOVE OUT OF THE WAY",,"I DON'T KNOW",,"SAY NO",,"WAIT 'TIL I GET HOME AND GET SOMETHING TO DRIN","K","TELL OTHER PEOPLE ABOUT THEM",,"GO TELL THEIR PARENTS",,"TELL SOMEBODY (?) A TEACHER",,"GO AT THE END OF THE LINE",,"I WOULD BREAK IT UP (?) GO GET A PA","RENT","I DON'T KNOW",,"TELL A PARENT",,"TRY TO BREAK IT UP",,"NLG",5,22,5,22,1,5,3,4,4,5,4,22,4,22,1/15/1996
"EA40185",8,"EA","I WOULD JUST SAY O.K. AND GO HOME AND GET MY OWN BALL",,,"I MIGHT GO TO MY NEXT DOOR NEIGHBOR AND ASK HIM","TO BORROW HIS BALL","I WOULD JUST STAY THERE AND IF THEY HIT ME MY FATHER TOLD ME TO HIT THEM BAC","K AND THEN WE WOULD BOTH BE EVEN.","I MIGHT RUN IN THE HOUSE",,"LIKE MY FATHER SAY JUST SAY NO AND IF THEY SMACK ME I'D SMACK THEM BACK",,"I WOULD JUST GIVE IT TO THEM",,"JUST SAY BOY, I DO NOT DO NASTY S","TUFF","I MIGHT JUST SAY SOMETHING BEHIND THEIR BACK",,"GET BACK WHERE I SUPPOSED TO BE","AT","NOTHING ELSE",,"LIKE I SAY, IF IT DON'T GOT NOTHI","TO DO WITH ME, DON'T GET IN IT","I MIGHT JUST SAY, CAN'T WE JUST ALL GET ALONG?",,"I WOULD GET MY FRIEND AND SAY LETS GO HOME AND IF","THEY COME AFTER US WE JUST RUN","THAT'S ALL",,"NLG",5,5,2,5,1,5,1,3,7,22,5,1,5,22,1/15/1996
"EA40235",8,"EA","I WOULD SAY I ASKED YOU VERY NICELY THAT I NEEDED THE BALL AND I WANT TO KNO","W IF YOU WOULD LET ME HOLD PLEASE.",,"I NEED THE BB BALL FOR PRACTICING IF WE DON'T HA","VE A BALL WE CAN'T PLAY.","IF YOUR GOING TO HIT ME DON'T, I DIDN'T DO ANYTHING WRONG SO DON'T HURT ME.",,"IF YOU TRY TO HIT ME I WILL STOP YOU.",,"DON'T ASK ME FOR $ GET YOUR OWN ITS NOT YOURS SO DON'T TAKE THIS $ IT","DOESN'T BELONG TO YOU.","IF YOU NEED $ BORROW MONEY NICELY AND ASK THEN","TO BORROW AND GIVE THEM THEIR MONEY BACK.","TELL HIS MOM OR SOMEONE IN HIS","FAMILY SO SHE CAN GIVE HIM A SPANKING.","IF HE DOES IT AGAIN I WILL SPANK HIM MYSELF.",,"PLEASE GIVE ME MY SPOT BACK AND","GO TO THE BACK OF THE LINE AND BE PATIENT.","IF YOU WANT SOMETHING TO DRINK YOU HAVE TO WAI","T.","STOP FIGHTING OR YOU I WILL GO GET","HELP.","GET A GROWN UP TO HELP ME STOP THIS FIGHTING.",,"GIVE HER A WARNING, IF YOU DON'T STOP FIGHTING I'","LL NEVER TALK TO YOU AGAIN.","NOTHING",,"MPG",1,1,1,3,1,1,4,2,1,1,3,4,3,22,3/15/1997
"EA40247",8,"EA","I WOULD ASK HIM AGAIN.",,,"I WOULD TELL HIM NICELY - ""CAN I PLEASE HOLD YOU","R BALL?""","RUN",,"TELL HIM - DON'T HIT ME AND DON'T LOOK SO MAD.",,"I WOULDN'T GIVE IT TO HIM",,"I WOULD GIVE IT TO HIM",,"TELL THE TEACHER - THAT HE DOESN'","T NEED TO BE TALKING ABOUT ME AND MY FAMILY. SO SHE WOULD STOP IT","I WOULD TALK ABOUT THEIR FAMILY.",,"GET BACK IN LINE AFTER THE KID","WHO PUSHED ME.","GET IN LINE WHERE I WAS",,"STOP THEM - I WOULD GET IN THE MIDD","LE AND PUSH THEM AWAY FROM EACH OTHER.","TELL THEM THAT THEIR MOTHER IS COMING.",,"BREAK THEM UP - GET IN THE MIDDLE AND PUSH THEM AW","AY FROM EACH OTHER.","TALK TO MY FRIEND. ASK HIM WHY HE IS FIGHTING.",,"NLG",1,1,5,1,7,5,4,3,7,7,2,3,7,1,3/15/1996
