"id","visit","center","fca2c","fca2d","fca3c","fca3d","fca4c","fca4d","fca5c","fca5d","fca6c","fca6d","fca7c","fca7d","fca8c","fca8d","fca9c","fca9d","fca10c","fca10d","fca11c","fca11d","fca12c","fca12d","fca13c","fca13d","fca14c","fca14d","fca15","fca1b","fca2b","fca3b","fca4b","fca5b","fca6b","fca7b","fca8b","fca9b","fca10b","fca11b","fca12b","fca13b","fca14b","fca16"
"EA40015",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"===",8,34,12,10,,,,,,,,,,,12/15/1995
"EA40056",8,"EA","CSF","A","AUN","A","CSM","A","CSF","A","CSM","A","CSM","A",,,,,,,,,,,,,,,"DNG",9,31,50,24,15,12,4,,,,,,,,5/15/1996
"EA40091",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"===",8,40,5,11,,,,,,,,,,,5/15/1996
"EA40108",8,"EA","MOM","B","BRO","B","CSF","B","CSM","B","CSF","B","CSF","B","GMA","B",,,,,,,,,,,,,"JRB",8,39,13,13,15,7,6,59,,,,,,,5/15/1996
"EA40129",8,"EA","MOM","B","SIS","B","BRO","B","OFC","B",,,,,,,,,,,,,,,,,,,"JRB",8,50,17,13,6,,,,,,,,,,6/15/1996
"EA40141",8,"EA","MOM","B","GMA","B","AUN","B","SIS","B","BRO","B","SIS","B","OFC","B",,,,,,,,,,,,,"===",8,28,64,23,8,7,2,4,,,,,,,8/15/1996
"EA40157",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"===",8,26,25,10,4,,,,,,,,,,1/15/1996
"EA40185",8,"EA","MOM","B","DAD","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"===",8,44,46,11,,,,,,,,,,,1/15/1996
"EA40235",8,"EA","MOM","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,25,3,48,,,,,,,,,,,3/15/1997
"EA40247",8,"EA","GMA","B","CSF","B","UNC","B",,,,,,,,,,,,,,,,,,,,,"NLG",8,55,5,31,,,,,,,,,,,3/15/1996
"EA40251",8,"EA","MOM","B","OMA","U","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,"===",8,30,36,11,5,3,,,,,,,,,8/15/1996
"EA40304",8,"EA","MOM","B","UNC","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"CET",8,22,16,56,,,,,,,,,,,3/15/1997
"EA40312",8,"EA","GMA","B",,,,,,,,,,,,,,,,,,,,,,,,,"===",8,50,,,,,,,,,,,,,1/15/1997
"EA40345",8,"EA","GMA","B","BRO","B","CSM","B",,,,,,,,,,,,,,,,,,,,,"===",8,51,15,4,,,,,,,,,,,7/15/1996
"EA40399",8,"EA","MOM","B","BRO","S","GMA","B","GPA","B",,,,,,,,,,,,,,,,,,,"MMT",8,29,2,58,62,,,,,,,,,,9/15/1996
"EA40401",8,"EA","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"===",8,33,42,13,10,,,,,,,,,,12/15/1995
"EA40414",8,"EA","MOM","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"===",8,27,11,9,,,,,,,,,,,4/15/1996
"EA40422",8,"EA","DAD","B","GPA","B",,,,,,,,,,,,,,,,,,,,,,,"===",8,36,72,,,,,,,,,,,,4/15/1997
"EA40436",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,"MMW",8,36,18,13,12,2,,,,,,,,,2/15/1996
"EA40450",8,"EA","MOM","B","DAD","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,30,33,4,,,,,,,,,,,8/15/1996
"EA40469",8,"EA","MOM","B","SIS","B","SIS","B","OFC","B","OMC","B","SIS","B","SIS","B","BRO","B","BRO","B","BRO","B","BRO","B","BRO","B",,,"CET",8,36,17,15,2,1,13,12,11,8,7,6,3,,12/15/1997
"EA40475",8,"EA","MOM","B","GPA","B","GMA","B","SIS","B","UNC","B",,,,,,,,,,,,,,,,,"CET",8,24,49,49,7,13,,,,,,,,,12/15/1996
"EA40497",8,"EA","MOM","B","OMA","X","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"BEB",8,26,28,12,3,,,,,,,,,,11/15/1996
"EA40518",8,"EA","MOM","B","BRO","B","GMA","B","GPA","B",,,,,,,,,,,,,,,,,,,"===",8,29,4,63,65,,,,,,,,,,3/15/1996
"EA40526",8,"EA","MOM","B","DAD","B",,,,,,,,,,,,,,,,,,,,,,,"JAS",7,39,76,,,,,,,,,,,,11/15/1996
"EA40560",8,"EA","MOM","B","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",7,33,9,5,16,,,,,,,,,,11/15/1996
"EA40593",8,"EA","MOM","B","OMA","X","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"BEB",8,24,27,6,3,,,,,,,,,,1/15/1997
"EA40606",8,"EA","MOM","B","DAD","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"===",8,27,30,10,,,,,,,,,,,8/15/1996
"EA40619",8,"EA","GMA","B","BRO","B","GPA","B","AUN","B",,,,,,,,,,,,,,,,,,,"BEB",8,53,5,47,19,,,,,,,,,,4/15/1997
"EA40627",8,"EA","MOM","B","UNC","B","OMA","U",,,,,,,,,,,,,,,,,,,,,"CET",8,21,28,35,,,,,,,,,,,3/15/1997
