"id","visit","center","kga1","kga2a","kga3a","kga4a","kga5","kga6","kga7","kga8","kga0","kga2","kga3","kga4","kga9"
"NW30081",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,12/15/1997
"NW30121",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,10/15/1997
"NW30182",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,10/15/1997
"NW30205",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,4/15/1997
"NW30271",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW30293",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,10/15/1996
"NW30417",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW30433",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,12/15/1997
"NW30472",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW30547",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","AJS",,,,,2/15/1998
"NW30579",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW30624",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,1/15/1998
"NW30727",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,1/15/1998
"NW30816",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,6/15/1998
"NW31170",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,5/15/1998
"NW31212",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW32118",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","AJS",,,,,5/15/1998
"NW32171",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,10/15/1997
"NW32276",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,10/15/1997
"NW32298",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,9/15/1997
"NW32351",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,2/15/1998
"NW32499",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",0,,,,6/15/1998
"NW32748",8,"NW","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","============================================================================","===",,,,,12/15/1997
"SO10016",8,"SO","TV BIKE SPORTS SWIM","HOUSE",,,"OVERCOME INSECURITY - IS MORE CONFIDENT","EVERYTHING","TEAM SPORTS","DL",1,1,0,0,4/15/1995
"SO10029",8,"SO","PLAY OUTSIDE","PLAY HOUSE",,,"SHE'S HONEST","SHE'S HELPFUL","SCHOOLWORK","DL",1,1,0,0,5/15/1995
"SO10034",8,"SO","GO TO FIRE DEPT. /RIDE BIKE/NINETINDO/PAINT COLOR/TIME WITH GRANDMOM","HORSES AND LIONS",,,"DOESN'T GET IN TROUBLE/GOOD GRADES/GOOD STUDENT","GOOD KID/LOVING/SWEETHEART","DRAWING/PAINTING","DL",1,1,0,0,1/15/1995
"SO10041",8,"SO","PLAY BARBIES, OUTSIDE GAMES","BARBIE - MOVIE STAR","TALK AND PLAY TOGETHER",,"GOOD IN SCHOOL, POLITE","SENSE OF HUMOR, SILLY - LIKES TO LEARN AND READ","WRITING, SCHOOLWORK","DL",1,1,1,0,3/15/1995
"SO10117",8,"SO","RIDE HER BIKE, PLAY BABY DOLL, RIDE OUT OF TOWN, WATCH VIDEOS, TAKE FAM TRIP","BABY DOLL, HOUSE, SCHOOL",,,"SHE IS VERY, VERY SMART - BRAINY CHILD - THINK SHE'LL GO FAR IN LIFE","THAT SHE TAKES A LOT OF PRIDE IN THE WAY THAT SHE LOOKS AND ACTS","BEING CONSIDERATE OF HER FAMILY'S NEEDS AND RESPONSIBILITIES","BBN",1,2,0,0,3/15/1995
"SO10125",8,"SO","HUNTING - VISIT FRIENDS","COPS AND ROBBERS",,"============================================================================","ACADEMICS","PERSONALITY (PEOPLE PERSON)","LEADER","TBL",1,1,0,,1/15/1995
"SO10133",8,"SO","SKATE",,,,"KINDNESS","KIND ATTITUDE","NINTENDO","TBL",1,0,0,0,1/15/1995
"SO10140",8,"SO","WATCHED TV, EATS A SNACK, PLAY GAMES, HOMEWORK",,,"============================================================================","THE WAY SHE KEEPS TRYING","VERY POLITE","SPORTS","TBL",1,0,0,,2/15/1995
"SO10158",8,"SO","PLAY NINTENDO AND POWER RANGERS","============================================================================",,,"MANNERS","GOOD KID","NINTENDO","TBL",1,2,0,0,1/15/1995
"SO10186",8,"SO","WRITE AND COLOR; READ","============================================================================",,,"CLASSWORK","VERY INTELLIGENT","CLEARING HER ROOM AND BATHROOM","TBL",1,1,0,0,4/15/1995
"SO10194",8,"SO","PLAY OUTSIDE - JUMP ROPE, CHEELEADING","DRIVING SCHOOL BUS","TELLS HER HOW SHE FEELS AND ASKS HER QUESTIONS","CALLS HER HER BEST FRIEND","EAGER TO LEARN","EVERYTHING","TALKING TO ME AND JOKING","TBL",1,1,2,1,10/15/1995
"SO10222",8,"SO","PLAY SEGA, TALK ON PHONE, DRAW, CUT OUT","HOUSE",,,"VERY SELF-CONFIDENT","HONESTY","LEADER","TBL",1,1,0,0,3/15/1995
"SO10236",8,"SO","PLAY OUTSIDE, BALL, GAMES","POWER RANGERS, NINJA TURTLES",,,"HONEST","GOOD HEART","DRAWING","TBL",1,1,0,0,4/15/1995
"SO10248",8,"SO","WATCH TV, READ, AND PLAY VIDEO GAMES",,,,"EVERYTHING I DON'T KNOW OF ANYTHING I'M NOT PROUD OF HE'S JUST A SWEET KID","EVERYTHING! THERE'S NOTHING ABOUT HIM I DON'T LIKE","TAE KWANDO - HE'S BEEN STATE CHAMPION FOR 3 YRS STRAIGHT AND HE LOVES IT","MCP",1,0,0,0,1/15/1995
