"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"EA","EA40015","JCM",16,4,4,4,2,4,4,4,4,4,4,3/15/2004
"EA","EA40056","SCH",16,5,5,5,5,5,4,5,5,5,5,3/15/2004
"EA","EA40108","SCH",16,5,5,1,5,5,5,5,1,5,5,3/15/2004
"EA","EA40129","SCH",16,3,5,5,3,5,5,4,4,5,5,3/15/2004
"EA","EA40141","SCH",16,5,5,5,5,4,5,5,3,5,5,9/15/2004
"EA","EA40157","CEW",16,5,5,5,5,5,5,5,5,4,5,3/15/2004
"EA","EA40185","JCM",16,3,4,5,3,4,4,5,4,1,4,3/15/2004
"EA","EA40235","JCM",16,5,5,5,4,5,4,1,1,3,1,10/15/2004
"EA","EA40247","JCM",16,2,4,2,5,1,4,5,5,1,1,5/15/2004
"EA","EA40304","MRE",16,1,5,1,5,5,5,5,5,1,5,12/15/2004
"EA","EA40312","JCM",16,5,5,5,5,5,5,5,5,5,5,5/15/2004
"EA","EA40353","MRE",16,3,5,1,5,2,5,2,1,2,1,2/15/2005
"EA","EA40401","SCH",16,1,1,5,5,5,1,1,1,5,5,7/15/2004
"EA","EA40414","SCH",16,5,5,5,5,5,5,5,5,5,5,3/15/2004
"EA","EA40422","MSL",16,5,5,5,5,5,5,5,5,5,5,5/15/2005
"EA","EA40436","SCH",16,5,5,5,5,5,5,5,5,5,5,3/15/2004
"EA","EA40450","MRE",16,4,5,4,5,5,5,5,4,2,4,12/15/2004
"EA","EA40497","CEW",16,4,2,3,5,5,3,4,5,2,5,11/15/2004
"EA","EA40505","JCM",16,5,5,5,5,4,5,5,5,5,5,7/15/2004
"EA","EA40526","JCM",16,1,1,1,1,1,1,1,1,1,1,10/15/2004
"EA","EA40593","SCH",16,5,5,5,5,5,5,5,5,5,5,10/15/2004
"EA","EA40631","JCM",16,5,5,3,5,2,4,5,5,5,5,5/15/2004
"EA","EA40655","JCM",16,5,5,5,5,5,5,5,5,5,5,12/15/2004
"EA","EA40664","DKV",16,5,5,4,5,5,5,5,5,5,5,7/15/2004
"EA","EA40670","MSL",16,5,5,5,5,5,5,5,5,5,5,5/15/2005
"EA","EA40724","MSL",16,3,5,2,5,3,3,4,3,2,5,11/15/2005
"EA","EA40739","MSL",16,2,3,2,4,4,3,5,5,5,3,5/15/2005
"EA","EA40746","JCM",16,5,5,5,5,5,5,5,5,5,5,10/15/2004
"EA","EA40767","JCM",16,5,5,4,5,5,5,5,5,5,4,1/15/2004
"EA","EA40780","MSL",16,,5,5,5,4,3,5,1,1,4,9/15/2005
"EA","EA40795","SCH",16,4,5,5,4,3,5,3,4,3,4,11/15/2004
"EA","EA40800","JCM",16,2,2,2,2,2,2,2,2,2,2,1/15/2005
"EA","EA40821","JCM",16,4,1,5,5,1,3,5,4,1,1,7/15/2004
"EA","EA40837","MSL",16,5,5,5,5,5,5,5,1,1,5,10/15/2005
"EA","EA40865","LHM",16,4,4,4,4,4,4,4,4,4,4,12/15/2006
"EA","EA40876","MSL",16,5,5,4,5,5,5,5,5,5,5,3/15/2005
"EA","EA40917","LHM",16,4,4,4,4,4,3,4,4,4,4,8/15/2006
"EA","EA40925","MRE",16,4,3,3,5,5,3,5,5,5,5,7/15/2005
"EA","EA40986","NDJ",16,4,1,3,5,1,1,4,4,4,3,6/15/2007
"EA","EA40994","JWW",16,4,5,5,5,5,5,5,5,5,5,7/15/2006
"EA","EA41010","LHM",16,5,4,5,5,5,5,5,5,4,4,11/15/2006
"EA","EA41084","MRE",16,4,5,5,5,5,5,5,5,5,5,8/15/2005
"EA","EA41096","SCH",16,5,3,5,4,2,5,5,3,1,1,12/15/2004
"EA","EA41111","MRE",16,4,4,4,5,4,4,3,3,2,2,11/15/2005
"EA","EA41124","NDJ",16,5,5,5,5,5,5,5,5,5,5,5/15/2007
"EA","EA41152","LHM",16,5,5,5,5,5,5,5,5,5,5,9/15/2006
"EA","EA41195","LHM",16,5,5,3,5,5,5,5,5,5,5,10/15/2006
"EA","EA41230","NDJ",16,3,3,3,5,5,5,5,5,5,5,5/15/2007
"EA","EA41242","LHM",16,1,5,1,5,5,5,5,5,5,5,9/15/2006
"EA","EA41274","MSL",16,5,5,5,5,5,5,5,5,5,5,11/15/2005
"EA","EA41289","JWW",16,4,5,4,5,3,4,3,2,1,1,8/15/2007
"EA","EA41325","LHM",16,5,5,5,5,5,5,5,5,5,5,8/15/2006
"EA","EA41333","LHM",16,5,5,5,5,5,5,5,5,5,5,8/15/2006
"EA","EA41361","M S",16,5,5,1,1,5,5,1,1,1,5,6/15/2007
"EA","EA41372","M S",16,3,1,3,3,3,3,5,5,3,4,7/15/2007
"EA","EA41386","JWW",16,4,4,4,4,4,4,4,4,4,4,8/15/2006
"EA","EA41394","M S",16,5,5,5,5,4,5,5,5,5,5,2/15/2007
"EA","EA41443","NDJ",16,3,4,5,5,4,5,4,4,1,4,6/15/2007
"EA","EA43011","MRE",16,5,5,5,5,5,5,5,5,5,3,2/15/2005
"EA","EA43024","MSL",16,5,5,1,5,5,5,1,5,5,5,2/15/2005
"EA","EA43052","SCH",16,5,5,5,5,5,5,5,3,5,4,3/15/2004
"EA","EA43067","MRE",16,5,5,1,4,4,5,5,5,5,5,7/15/2005
"EA","EA43078","MRE",16,5,5,5,5,5,5,3,5,4,5,4/15/2005
"EA","EA43095","MRE",16,5,5,4,5,5,5,5,4,4,4,12/15/2004
"EA","EA43104","MRE",16,3,4,2,3,3,3,3,3,2,3,10/15/2005
"EA","EA43112","JCM",16,5,5,5,5,5,5,5,5,5,4,6/15/2005
"EA","EA43138","DKV",16,5,5,4,4,5,5,3,3,3,3,4/15/2004
"EA","EA43145","JCM",16,5,5,5,5,5,5,5,5,4,5,6/15/2004
"EA","EA43166","MSL",16,4,4,4,4,5,4,5,4,3,3,3/15/2005
