"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"EA","EA40015",12,1,25,30,145,476,67,499,83,,
"EA","EA40015",16,,,,195,504,82,,,1,36
"EA","EA40056",12,1,28,21,152,483,74,478,58,,
"EA","EA40056",16,,,,202,501,78,,,1,34
"EA","EA40108",12,1,17,20,146,454,47,477,56,,
"EA","EA40108",16,,,,196,,,,,1,
"EA","EA40129",12,1,28,33,149,483,74,506,92,,
"EA","EA40129",16,,,,197,497,73,,,1,32
"EA","EA40141",16,,,,191,489,71,,,1,30
"EA","EA40157",12,1,40,40,148,511,104,518,111,,
"EA","EA40157",16,,,,199,531,114,,,1,51
"EA","EA40185",12,1,36,35,146,504,94,509,97,,
"EA","EA40185",16,,,,195,520,101,,,1,45
"EA","EA40235",16,,,,189,517.7,102,,,1,44
"EA","EA40247",12,1,35,38,152,502,92,514,106,,
"EA","EA40247",16,,,,206,506,85,,,1,38
"EA","EA40251",12,1,27,30,155,482,72,499,83,,
"EA","EA40304",12,1,30,21,149,489,79,478,58,,
"EA","EA40312",16,,,,190,482,64,,,1,27
"EA","EA40353",16,,,,202,506,86,,,1,38
"EA","EA40399",12,1,33,35,151,500,87,509,97,,
"EA","EA40401",12,1,28,15,153,483,74,461,,,
"EA","EA40401",16,,,,205,491,70,,,1,31
"EA","EA40414",12,1,27,30,144,482,72,499,83,,
"EA","EA40414",16,,,,191,497,75,,,1,32
"EA","EA40422",12,1,26,31,148,480,69,500,86,,
"EA","EA40422",16,,,,193,489,69,,,1,30
"EA","EA40436",12,1,31,15,145,491,82,461,,,
"EA","EA40436",16,,,,195,,,,,1,
"EA","EA40450",12,1,35,31,157,502,87,500,81,,
"EA","EA40450",16,,,,197,501,78,,,1,34
"EA","EA40497",16,,,,194,482,63,,,1,27
"EA","EA40505",16,,,,191,509,91,,,1,39
"EA","EA40526",12,1,49,34,146,529,127,508,94,,
"EA","EA40526",16,,,,191,534,122,,,1,53
"EA","EA40560",12,1,27,28,148,482,72,495,78,,
"EA","EA40593",12,1,40,43,145,511,104,522,119,,
"EA","EA40593",16,,,,190,524,109,,,1,47
"EA","EA40606",12,1,26,28,150,480,69,495,78,,
"EA","EA40631",12,1,16,15,147,450,,461,,,
"EA","EA40631",16,,,,198,461,45,,,1,19
"EA","EA40643",12,1,33,34,148,500,87,508,94,,
"EA","EA40655",12,1,26,30,151,480,69,499,83,,
"EA","EA40655",16,,,,189,502,82,,,1,35
"EA","EA40664",16,,,,188,520,104,,,1,45
"EA","EA40670",16,,,,194,512,93,,,1,41
"EA","EA40724",16,,,,191,520,104,,,1,45
"EA","EA40739",12,1,23,23,150,474,62,485,64,,
"EA","EA40739",16,,,,189,476,59,,,1,25
"EA","EA40746",12,1,21,23,144,467,57,485,64,,
"EA","EA40746",16,,,,190,482,64,,,1,27
"EA","EA40752",12,1,33,28,156,500,82,495,73,,
"EA","EA40752",16,,,,,,,,,1,0
"EA","EA40767",12,1,32,35,155,497,84,509,97,,
"EA","EA40767",16,,,,189,500,77,,,1,33
"EA","EA40780",12,1,28,28,144,483,74,495,78,,
"EA","EA40780",16,,,,190,505,86,,,1,37
"EA","EA40795",12,1,21,23,148,467,57,485,64,,
"EA","EA40795",16,,,,191,474,55,,,1,23
"EA","EA40800",12,1,23,34,151,474,62,508,94,,
"EA","EA40800",16,,,,200,480,60,,,1,26
"EA","EA40813",12,1,25,27,145,476,67,494,75,,
"EA","EA40821",16,,,,190,505,86,,,1,37
