"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"EA","EA40015","2","2","2","1","0","0","2","2","2","2","0","0","0","2","2","2","2","0","2","2","2",18
"EA","EA40056","3","0","0","0","0","0","2","2","2","2","0","0","0","2","2","3","3","0","2","2","2",18
"EA","EA40108","2","2","2","0","0","0","2","2","2","2","2","0","0","0","2","2","2","2","3","2","2",18
"EA","EA40129","2","2","2","1","0","0","3","2","2","2","0","0","0","2","2","2","2","0","2","3","2",18
"EA","EA40141","2","1","2","1","0","0","2","1","1","1","0","0","0","0","1","1","1","1","1","1","1",18
"EA","EA40157","3","3","3","1","0","1","2","3","3","3","0","0","0","2","3","3","1","0","3","3","3",18
"EA","EA40185","2","2","2","0","0","0","2","2","2","2","1","0","0","2","2","2","2","0","2","3","3",18
"EA","EA40235","0","0","0","2","0","0","2","0","0","0","0","0","0","2","3","2","2","2","3","1","1",18
"EA","EA40247","2","2","2","1","0","0","2","2","2","2","0","0","0","2","2","2","2","0","2","3","2",18
"EA","EA40251","2","3","3","0","0","0","3","2","2","2","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40304","2","2","2","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","2","3",18
"EA","EA40312","0","0","0","3","0","0","2","2","2","2","0","0","0","0","3","3","3","0","3","3","2",18
"EA","EA40353","1","3","3","0","0","0","3","2","2","2","0","0","0","2","2","2","2","0","2","3","3",18
"EA","EA40399","2","2","2","0","0","0","2","2","2","2","0","0","0","2","2","3","2","0","3","3","3",18
"EA","EA40414","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1",18
"EA","EA40422","2","2","2","0","1","1","2","2","2","2","1","1","1","2","2","2","2","1","2","1","1",18
"EA","EA40436","3","3","1","1","1","1","3","2","1","1","1","1","1","0","2","1","2","1","2","1","2",18
"EA","EA40450","2","2","3","1","0","0","2","3","3","3","0","0","0","2","2","3","3","0","2","3","3",18
"EA","EA40475","2","2","2","1","0","0","3","3","3","3","2","1","0","2","3","3","2","0","2","2","2",18
"EA","EA40497","1","1","2","2","2","1","3","2","1","1","3","0","1","2","2","2","2","0","1","0","2",18
"EA","EA40505","3","3","3","1","0","0","0","3","3","3","0","0","0","2","3","3","3","0","3","3","3",18
"EA","EA40518","1","2","3","0","0","0","3","2","3","3","0","0","0","3","3","2","2","0","3","3","3",18
"EA","EA40526","2","2","2","1","0","0","3","2","2","2","0","0","0","2","2","3","3","0","2","3","3",18
"EA","EA40560","1","2","2","2","1","2","2","1","1","2","1","1","2","2","2","2","2","1","1","2","2",18
"EA","EA40619","1",,,,,,,,,,,,,,,,,,,,"1",18
"EA","EA40631","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","1","0","2",18
"EA","EA40643","1","1","2","0","1","1","3","3","3","3","0","0","0","0","3","3","3","3","3","3","3",18
