"center","id","visit","YSCA1A","YSCA1B","YSCA1C","YSCA2A","YSCA2B","YSCA2C","YSCA9","YSCA1","YSCA1A1","YSCA1A2","YSCA1B0","YSCA1B1","YSCA1B2","YSCA1C0","YSCA1C1","YSCA1C2","YSCA2","YSCA2A1","YSCA2A2","YSCA2B0","YSCA2B1","YSCA2B2","YSCA2C0","YSCA2C1","YSCA2C2","YSCA3","YSCA3A1","YSCA3B0","YSCA3B1","YSCA3C0","YSCA3C1","YSCA4","YSCA4A1","YSCA4B0","YSCA4B1","YSCA4C0","YSCA4C1","YSCA5A","YSCA5B","YSCA6A","YSCA6B","YSCA6C","YSCA6D","YSCA7A","YSCA8A","YSCA8B","YSCA8C","YSCA8D","YSCA8E","YSCA8F","YSCA8G","YSCA10"
"EA","EA40015",12,"BASKETBALL",,,"CHESS",,,"KRW",1,0,1,0,,,,,,1,0,2,0,,,,,,1,1,0,,,,1,1,0,,,,3,1,0,2,2,1,1,2,2,2,3,9,,,1/15/2000
"EA","EA40015",18,,,,"READING",,,"MSL",0,,,,,,,,,1,0,1,0,,,,,,0,,,,,,1,1,0,,,,2,0,1,1,2,2,0,,,,,,,,12/15/2005
"EA","EA40056",12,"BASKETBALL","FOOTBALL",,"SINGING","VIDEO GAMES",,"KRW",1,1,1,1,1,0,0,,,1,1,1,1,1,2,0,,,0,,,,,,1,2,0,,,,3,2,2,1,2,2,1,2,2,1,3,9,,,1/15/2000
"EA","EA40056",18,,,,,,,"JWW",0,,,,,,,,,0,,,,,,,,,0,,,,,,1,1,0,,,,3,2,1,1,1,2,0,,,,,,,,4/15/2006
"EA","EA40091",12,,,,"WAR-CARDS, SPADES-CARDS",,,"KRW",0,,,,,,,,,1,1,1,0,,,,,,0,,,,,,1,0,0,,,,1,2,1,2,0,1,1,2,2,2,1,9,,,3/15/2000
"EA","EA40108",12,"BASEBALL","BASKETBALL","FOOTBALL","POKEMON CARDS",,,"KRW",1,1,2,1,2,1,1,2,1,1,2,1,0,,,,,,0,,,,,,1,2,1,1,1,2,3,2,0,1,2,2,1,1,2,3,2,9,,,1/15/2000
"EA","EA40108",18,"BASKETBALL","FOOTBALL","BASEBALL","VIDEO GAMES","PLAY WITH DOG",,"MRE",1,1,2,1,0,2,1,2,2,1,1,2,1,2,2,0,,,0,,,,,,1,0,1,1,0,,3,2,0,1,2,1,0,,,,,,,,11/15/2005
"EA","EA40129",12,"FOOTBALL",,,,,,"KRW",1,2,0,0,,,,,,0,,,,,,,,,0,,,,,,1,2,0,,,,3,2,2,2,2,2,1,3,3,2,2,9,,,3/15/2000
"EA","EA40129",18,"FOOTBALL",,,"GOING TO THE MALL",,,"MSL",1,1,2,0,,,,,,1,2,2,0,,,,,,0,,,,,,1,1,0,,,,3,1,2,2,2,2,1,3,3,9,2,9,,,10/15/2005
"EA","EA40141",18,,,,"PLAY CARDS",,,"NDJ",0,,,,,,,,,1,1,1,0,,,,,,0,,,,,,0,,,,,,2,2,2,1,1,1,0,,,,,,,,6/15/2007
"EA","EA40157",12,"BASEBALL",,,"READING","SKATE ROLLER",,"KRW",1,1,0,0,,,,,,1,1,1,1,1,1,0,,,0,,,,,,1,1,1,0,0,,3,2,0,1,1,1,1,1,1,2,1,1,0,,11/15/1999
"EA","EA40157",18,,,,"READING",,,"JWW",0,,,,,,,,,1,1,1,0,,,,,,0,,,,,,1,1,0,,,,2,1,0,0,1,1,0,,,,,,,,3/15/2006
"EA","EA40185",12,"FOOTBALL","BASKETBALL","STREET HOCKEY","POKEMON CARD COLLECTING",,,"KRW",1,2,2,1,1,2,1,2,1,1,0,2,0,,,,,,1,1,1,1,0,,1,2,1,2,0,,3,0,1,2,2,2,1,3,3,3,3,2,9,,2/15/2000
"EA","EA40185",18,"FOOTBALL","WRESTLING",,,,,"MSL",1,1,1,1,2,2,0,,,0,,,,,,,,,0,,,,,,1,0,0,,,,2,1,1,1,2,1,1,3,9,9,9,9,,,12/15/2005
"EA","EA40235",18,"BASEBALL",,,"WRITING POETRY","READING",,"LHM",1,2,2,0,,,,,,1,2,2,1,2,2,0,,,0,,,,,,1,2,0,,,,2,1,1,0,0,2,0,,,,,,,,11/15/2008
"EA","EA40247",12,"BASEBALL","BASKETBALL",,"DRAWING","CARDS-PLAYING",,"KRW",1,1,2,1,2,1,0,,,1,2,1,1,1,1,0,,,0,,,,,,1,2,1,1,1,1,2,0,9,2,1,2,1,2,3,3,3,3,0,9,12/15/1999
"EA","EA40247",18,"BASKETBALL",,,,,,"MSL",1,1,1,0,,,,,,0,,,,,,,,,0,,,,,,1,2,0,,,,3,1,1,1,1,2,0,,,,,,,,7/15/2005
"EA","EA40251",12,"FOOTBALL","BASKETBALL",,"DANCING-HIP HOP","DOING HAIR",,"KRW",1,1,1,1,1,2,0,,,1,2,2,1,2,2,0,,,1,1,0,,,,1,0,1,1,1,1,3,2,1,1,2,2,1,2,2,2,2,9,,,2/15/2000
"EA","EA40251",18,"FOOTBALL","BASEBALL",,"DANCING","DOING HAIR",,"MSL",1,0,1,1,0,2,0,,,1,2,2,1,1,2,0,,,0,,,,,,1,1,0,,,,3,2,2,1,2,2,1,3,3,2,3,3,9,,8/15/2005
"EA","EA40304",12,"BASKETBALL","SOCCER","FOOTBALL","PLAYSTATION","BOARD GAMES - MONOPOLY",,"SCH",1,2,2,1,0,0,1,2,2,1,0,1,1,0,1,0,,,0,,,,,,1,2,1,2,1,0,2,1,2,2,2,1,1,2,3,2,1,,,,8/15/2001
"EA","EA40304",18,"BASKETBALL, SOFTBALL",,,,,,"NDJ",1,0,0,0,,,,,,0,,,,,,,,,0,,,,,,1,2,0,,,,2,2,2,2,2,1,1,3,3,3,1,,,,7/15/2007
"EA","EA40312",18,"BASKETBALL",,,"PLAYING CARDS",,,"LHM",1,0,0,0,,,,,,1,0,1,0,,,,,,0,,,,,,1,1,0,,,,3,0,2,2,2,2,0,,,,,,,,3/15/2009
"EA","EA40353",18,"RIDING BIKES,","SWIMMING","BASKETBALL","DRAWING","PLAY CARDS",,"JWW",1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,0,,,0,,,,,,1,1,0,,,,3,2,2,2,2,1,0,,,,,,,,3/15/2006
"EA","EA40399",12,"TRACK","SOCCER","BASKETBALL","FISHING",,,"SCH",1,0,1,1,0,1,1,1,1,1,1,2,0,,,,,,1,1,0,,,,1,1,1,2,1,2,3,2,1,1,1,1,1,3,2,3,2,3,,,3/15/2001
"EA","EA40399",18,"FISHING","SKATING","BOWLING","GOING TO THE MALL","DRIVING",,"MJM",1,0,2,1,0,2,1,0,2,1,1,1,1,2,2,0,,,0,,,,,,1,2,0,,,,3,1,1,2,1,2,0,,,,,,,,10/15/2008
"EA","EA40401",12,"BASKETBALL","WRRESTLING","FOOTBALL",,,,"KRW",1,1,0,1,0,1,1,2,0,0,,,,,,,,,0,,,,,,1,0,0,,,,2,1,2,1,2,0,1,2,3,3,2,9,,,3/15/2000
