"","groups","numbers"
"1","a",45.4054843049962
"2","b",10.7603841258679
"3","c",22.8710774455685
"4","a",9.32286918140016
"5","b",10.2529026747216
"6","c",19.2823972466867
"7","a",10.7887528091669
"8","b",34.3517120799515
"9","c",30.5638467790559
"10","a",12.7225705597084
"11","a",37.2256237564143
"12","b",18.5853943771217
"13","c",11.4129814882763
"14","a",17.7129883344751
"15","b",30.5336569817737
"16","c",91.5823324583471
"17","a",58.1201636465266
"18","b",90.8219994627871
"19","c",51.6171877156012
"20","a",71.8077576486394
"21","a",81.8999655894004
"22","b",73.9965750137344
"23","c",67.8035968565382
"24","a",56.9736358476803
"25","b",83.1706128316
"26","c",57.7115777530707
"27","a",99.7569021652453
"28","b",74.7317213332281
"29","c",61.4509268081747
"30","a",58.1242143758573
